subj_metric,obj_metric,n,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_holm,spearman_p_bh,pearson_p_holm,pearson_p_bh
TAM_Total_mean,N_cmds_mean,4,-0.39999999999999997,0.6,-0.5029700823104464,0.4970299176895536,1.0,0.7384615384615384,1.0,0.7397654588867775
TAM_Total_mean,N_cmds_median,4,-0.316227766016838,0.683772233983162,-0.4179557148601801,0.58204428513982,1.0,0.7814539816950423,1.0,0.744912903573819
TAM_Total_mean,N_actuations_mean,4,-0.39999999999999997,0.6,-0.6935815382354227,0.3064184617645773,1.0,0.7384615384615384,1.0,0.5603080443695129
TAM_Total_mean,N_actuations_median,4,-0.19999999999999998,0.8,0.00877099819745053,0.9912290018025494,1.0,0.8258064516129032,1.0,0.9926080321259216
TAM_Total_median,logT_mean,4,-0.6000000000000001,0.3999999999999999,-0.7742242718541424,0.22577572814585745,1.0,0.6736842105263157,1.0,0.48597081625075256
TAM_Total_median,logT_median,4,-0.6000000000000001,0.3999999999999999,-0.8362506471979876,0.16374935280201242,1.0,0.6736842105263157,1.0,0.44237837567158894
TAM_Total_median,T_task_sec_mean,4,-0.6000000000000001,0.3999999999999999,-0.7291507849525857,0.2708492150474142,1.0,0.6736842105263157,1.0,0.5367512554784795
TAM_Total_median,T_task_sec_median,4,-0.6000000000000001,0.3999999999999999,-0.812280069578095,0.18771993042190505,1.0,0.6736842105263157,1.0,0.4505448817463931
TAM_Total_median,N_cmds_mean,4,-0.39999999999999997,0.6,-0.4714072099316493,0.5285927900683507,1.0,0.7384615384615384,1.0,0.744912903573819
TAM_Total_median,N_cmds_median,4,-0.316227766016838,0.683772233983162,-0.3831190017279311,0.6168809982720689,1.0,0.7814539816950423,1.0,0.744912903573819
TAM_Total_median,N_actuations_mean,4,-0.39999999999999997,0.6,-0.662515370152531,0.33748462984746896,1.0,0.7384615384615384,1.0,0.5999726752843892
TAM_Total_median,N_actuations_median,4,-0.19999999999999998,0.8,0.014051098399730011,0.98594890160027,1.0,0.8258064516129032,1.0,0.9926080321259216
TPA_Total_mean,logT_mean,4,-1.0,0.0,-0.9891260583586452,0.0108739416413548,0.0,0.0,0.652436498481288,0.11889332968920978
TPA_Total_mean,logT_median,4,-1.0,0.0,-0.9977558069764932,0.0022441930235066465,0.0,0.0,0.14362835350442538,0.059765191408267526
