participant,condition,T_task_sec,logT_task,N_cmds,N_actuations,n_devices_final,n_colors_required,avg_cmd_time
7,SR,52.5272364,3.959781891696532,2.0,3.5,2.0,2.0,25.704846166666666
8,Label,51.547725650000004,3.9419757086926634,1.0,3.5,3.0,2.0,47.955686549999996
8,P+SR,44.30525805,3.7906666382039518,2.0,3.0,2.0,2.0,24.775416525
8,Pointing,47.635868099999996,3.863396949750163,2.0,5.0,3.0,2.0,22.50508585
8,SR,60.774242400000006,4.107164950872615,1.0,3.0,3.0,2.0,42.315122450000004
9,Label,39.5168235,3.6753115141269483,1.0,3.0,3.0,2.0,31.5917235
9,P+SR,36.4035368,3.5920992043045255,1.0,2.0,2.0,2.0,26.1454125
9,Pointing,28.8165331,3.3573880238852434,2.0,5.5,3.0,2.0,12.474926475
9,SR,150.034691,5.0102242747420345,5.0,14.0,3.0,2.0,30.772435657142857
10,Label,29.239619249999997,3.370263401205035,1.5,3.5,3.0,2.0,19.896491666666666
10,P+SR,25.26997565,3.2285211862958043,1.0,2.0,2.0,2.0,20.91924285
10,Pointing,24.42605495,3.193317123649945,2.0,5.0,3.0,2.0,13.650622008333333
10,SR,65.73001735,4.18495460026846,3.0,6.0,3.5,2.0,21.3524621875
11,Label,58.04819295,4.0611744719503085,3.0,6.5,2.5,2.0,19.568560366666667
11,P+SR,28.2876396,3.3405341441907095,1.5,3.0,3.0,2.0,17.755960299999998
11,Pointing,36.44527895,3.5952028681869153,2.0,5.5,3.0,2.0,21.296398175
11,SR,59.93359615,4.09082805577704,3.0,7.0,3.5,2.0,21.119874791666668
12,Label,40.9228897,3.7116687260704095,1.5,3.5,2.0,2.0,36.713039374999994
12,P+SR,44.0569322,3.7841087245172687,1.0,3.5,3.0,2.0,33.5135193
12,Pointing,37.41796685,3.619682988579988,2.0,4.5,3.0,2.0,20.374337175
12,SR,133.856979,4.896771909062829,2.0,6.0,3.0,2.0,44.618992999999996
13,Label,77.26231235,4.343756499211608,2.5,6.0,3.0,2.0,27.21476345
13,P+SR,60.9149933,4.109478834321887,1.0,3.0,3.0,2.0,60.9149933
13,Pointing,55.6782913,4.018360115514538,2.0,3.0,2.0,2.0,28.970635233333333
