participant,condition,file,taskId,T_task_sec,N_cmds,N_actuations,n_devices_final,n_colors_required
10,SR,1_C.json,b0e9f035-c92f-4dc6-bd0a-a10b2941f902,14.883955,1,1,1,1
10,SR,1_C.json,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,70.89931,3,8,4,2
10,SR,1_C.json,ff4748e2-cd97-45bb-bf2c-e5c9c33f78ac,68.0083847,3,6,3,1
10,SR,1_C.json,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,34.3222542,2,3,2,2
11,P+SR,2_D.json,40573e58-0087-4bb3-9ed7-d18a24a35b78,50.5299225,3,18,9,3
11,P+SR,2_D.json,c78550a2-290e-4b94-98db-961c2110c668,30.84306,2,6,4,2
11,P+SR,2_D.json,fdf65cab-a9a0-4e5f-ac35-c3cff2196644,18.3327656,1,4,4,1
11,P+SR,2_D.json,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,20.9297714,1,3,3,1
11,P+SR,2_D.json,ae59cd40-20ff-4809-8cbb-87c7cc41665c,44.99065,3,10,4,2
11,P+SR,2_D.json,5dde3eac-8ee6-4821-99d4-f6e4ae5f7bd2,34.35831,2,3,2,2
11,P+SR,2_D.json,2e919b0d-6d84-4641-a535-930a7ca6c8b7,31.55604,1,3,3,3
11,P+SR,2_D.json,bee10050-f98c-456a-a684-4435ee88ef00,25.3456249,1,3,3,3
11,P+SR,2_D.json,79dc7e7b-d1c7-4237-908d-f541b20406d4,26.5497417,1,1,1,1
11,P+SR,2_D.json,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,25.9863453,2,6,4,2
11,P+SR,2_D.json,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,21.3477764,1,1,1,1
11,P+SR,2_D.json,7aeefa77-f398-4a26-b615-e50c4d05ba64,30.0255375,2,3,2,2
11,Label,4_A.json,fe0ef0b0-c647-4b3a-b2f6-68a75133a566,76.46581,2,3,2,1
11,Label,4_A.json,0ebd3226-6abe-4b54-8d2f-6c4c8adc1978,194.956711,5,17,2,2
11,Label,4_A.json,7cbd6f03-54a0-426f-b4ea-d8e0ce58e276,58.8654022,3,6,3,1
11,Label,4_A.json,f548cabb-2a47-4399-a702-f76d5d1336df,34.5113945,1,2,2,1
11,Label,4_A.json,e2dc0c9a-3e6f-40a4-b8c5-7289c1efe296,19.51532,1,1,1,1
11,Label,4_A.json,eee4a904-a6ad-4369-970f-b656e1f59f12,80.1904144,5,8,2,2
11,Label,4_A.json,81c1a60b-c8ac-4a16-b831-1df68863e61e,98.91836,5,14,3,2
11,Label,4_A.json,d58fe3c1-28a0-4e49-9e2f-e72569f6e61e,73.9090652,4,11,4,3
11,Label,4_A.json,c87d383c-41db-4303-8615-9271bbf2465e,48.51194,3,4,2,2
11,Label,4_A.json,8aeed698-e7ee-41ef-bfe7-56f37e2232ab,49.956852,3,6,3,3
11,Label,4_A.json,2369c5c0-c4bb-4308-a9cd-05a64a69f91a,57.2309837,2,9,6,2
11,Label,4_A.json,137e922c-0877-46af-a797-5a32df2edf5d,57.0331726,4,7,3,3
11,Pointing,3_C.json,b594ae95-d981-4868-ae48-3f63eb87087a,97.87539,2,6,4,2
11,Pointing,3_C.json,fd995852-c28d-49e9-97b5-9774af3241c3,98.83795,3,12,6,3
