participant,condition,taskId,T_task_sec,logT_task,N_cmds,N_actuations,n_devices_final,n_colors_required,avg_cmd_time
10,P+SR,eee4a904-a6ad-4369-970f-b656e1f59f12,24.0876369,3.1816987171701046,1,2,2,2,24.0876369
10,Pointing,40573e58-0087-4bb3-9ed7-d18a24a35b78,40.41314,3.6991549796103467,3,18,9,3,13.471046666666666
10,Pointing,bee10050-f98c-456a-a684-4435ee88ef00,29.69144,3.3908587887783725,3,6,3,3,9.897146666666666
10,Pointing,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,18.0844841,2.8950543385940795,2,6,4,2,9.04224205
10,Pointing,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,14.070364,2.6440707414384246,1,1,1,1,14.070364
10,Pointing,ae59cd40-20ff-4809-8cbb-87c7cc41665c,28.3444977,3.3444329266808124,2,6,4,2,14.17224885
10,Pointing,fdf65cab-a9a0-4e5f-ac35-c3cff2196644,15.5318642,2.7428936685914356,1,4,4,1,15.5318642
10,Pointing,c78550a2-290e-4b94-98db-961c2110c668,22.759407,3.1249785544371598,2,6,4,2,11.3797035
10,Pointing,7aeefa77-f398-4a26-b615-e50c4d05ba64,27.6603947,3.320001595838344,2,3,2,2,13.83019735
10,Pointing,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,14.6964579,2.6876065055656886,1,3,3,1,14.6964579
10,Pointing,2e919b0d-6d84-4641-a535-930a7ca6c8b7,26.0927029,3.26165569286273,3,6,3,3,8.697567633333334
10,Pointing,79dc7e7b-d1c7-4237-908d-f541b20406d4,21.0893536,3.0487683444240092,2,2,1,1,10.5446768
10,Pointing,5dde3eac-8ee6-4821-99d4-f6e4ae5f7bd2,29.7057514,3.3913406768925953,2,3,2,2,14.8528757
10,Label,25c3ccdb-26c7-4109-bcfe-730434f9caa9,22.90212,3.1312294826944758,1,2,2,1,22.90212
10,Label,386be10f-0686-4118-928d-b57f06593b2f,52.5091,3.9609864879104246,3,9,3,2,17.50303333333333
10,Label,4fd86244-384f-4a69-adc8-6fd13c16422c,50.3995056,3.9199813655053997,2,5,3,3,25.1997528
