row_id,participant,condition,SUS,NASA_Mental,NASA_Physical,NASA_Temporal,NASA_Performance,NASA_Effort,NASA_Frustration,NASA_Overall,TAM_PEOU,TAM_PU,TAM,TPA
71,P3,Pointing,87.5,3.0,3.0,1.0,20.0,6.0,3.0,6.0,6.0,4.5,5.25,6.0
72,P3,Label,72.5,6.0,4.0,2.0,18.0,12.0,4.0,7.666666666666667,5.333333333333333,6.166666666666667,5.75,5.25
73,P4,SR,62.5,10.0,9.0,5.0,18.0,8.0,12.0,10.333333333333334,3.6666666666666665,4.833333333333333,4.25,3.0833333333333335
74,P4,P+SR,97.5,4.0,5.0,4.0,19.0,5.0,4.0,6.833333333333333,6.5,6.666666666666667,6.583333333333333,6.083333333333333
75,P4,Pointing,87.5,3.0,3.0,3.0,20.0,3.0,3.0,5.833333333333333,6.666666666666667,4.333333333333333,5.5,7.0
76,P4,Label,30.0,17.0,13.0,7.0,17.0,19.0,17.0,15.0,2.3333333333333335,2.3333333333333335,2.3333333333333335,4.833333333333333
77,P5,SR,52.5,5.0,2.0,1.0,15.0,16.0,8.0,7.833333333333333,5.166666666666667,5.0,5.083333333333333,6.166666666666667
78,P5,P+SR,87.5,1.0,3.0,1.0,17.0,6.0,2.0,5.0,7.0,6.666666666666667,6.833333333333333,6.916666666666667
79,P5,Pointing,77.5,11.0,5.0,14.0,20.0,13.0,11.0,12.333333333333334,6.5,3.5,5.0,7.0
80,P5,Label,30.0,14.0,7.0,5.0,15.0,21.0,6.0,11.333333333333334,2.1666666666666665,4.333333333333333,3.25,5.583333333333333
81,P6,SR,52.5,17.0,19.0,5.0,13.0,19.0,14.0,14.5,4.333333333333333,4.166666666666667,4.25,4.75
82,P6,P+SR,80.0,5.0,4.0,3.0,19.0,8.0,5.0,7.333333333333333,5.833333333333333,5.5,5.666666666666667,6.083333333333333
83,P6,Pointing,95.0,7.0,6.0,3.0,20.0,3.0,9.0,8.0,5.833333333333333,6.0,5.916666666666667,6.666666666666667
84,P6,Label,72.5,13.0,3.0,2.0,16.0,11.0,10.0,9.166666666666666,5.166666666666667,6.0,5.583333333333333,5.833333333333333
85,P7,SR,45.0,16.0,17.0,7.0,8.0,6.0,16.0,11.666666666666666,3.5,4.5,4.0,2.8333333333333335
86,P7,P+SR,75.0,3.0,3.0,1.0,20.0,10.0,3.0,6.666666666666667,6.166666666666667,7.0,6.583333333333333,6.25
87,P7,Pointing,82.5,3.0,8.0,4.0,19.0,3.0,2.0,6.5,6.5,6.0,6.25,6.583333333333333
88,P7,Label,35.0,15.0,3.0,15.0,5.0,20.0,13.0,11.833333333333334,3.6666666666666665,2.6666666666666665,3.1666666666666665,2.5833333333333335
89,P8,SR,65.0,9.0,9.0,1.0,15.0,13.0,9.0,9.333333333333334,5.0,5.0,5.0,5.416666666666667
90,P8,P+SR,77.5,6.0,7.0,1.0,19.0,5.0,4.0,7.0,5.833333333333333,5.166666666666667,5.5,5.833333333333333
91,P8,Pointing,70.0,7.0,7.0,3.0,19.0,6.0,7.0,8.166666666666666,5.5,5.0,5.25,5.916666666666667
92,P8,Label,75.0,6.0,5.0,1.0,19.0,4.0,6.0,6.833333333333333,4.5,5.333333333333333,4.916666666666667,5.5
93,P9,SR,52.5,15.0,10.0,5.0,10.0,15.0,12.0,11.166666666666666,3.8333333333333335,3.1666666666666665,3.5,5.25
94,P9,P+SR,90.0,5.0,13.0,5.0,20.0,10.0,5.0,9.666666666666666,6.5,6.166666666666667,6.333333333333333,6.416666666666667
95,P9,Pointing,90.0,8.0,12.0,5.0,20.0,8.0,5.0,9.666666666666666,5.833333333333333,6.0,5.916666666666667,6.583333333333333
96,P9,Label,40.0,15.0,10.0,5.0,10.0,15.0,12.0,11.166666666666666,3.1666666666666665,3.0,3.0833333333333335,4.333333333333333
