participant,condition,file,taskId,finalId,T_task_sec,N_cmds,n_devices_required,n_colors_required,device_arrange_id
10,Pointing,3_D.json,40573e58-0087-4bb3-9ed7-d18a24a35b78,a2deaf9a-3d78-4107-8e53-ca4d62ea64bd,40.41314,3,9,,
10,Pointing,3_D.json,bee10050-f98c-456a-a684-4435ee88ef00,99023fb9-ae34-40e9-9fd1-0518633dd4fe,29.69144,3,3,,
10,Pointing,3_D.json,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,4442aa25-bfd8-49ad-93f9-8d2e2001cc93,18.0844841,2,4,,
10,Pointing,3_D.json,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,14efa42b-02c1-4e10-881f-894fb90bbb80,14.070364,1,1,,
10,Pointing,3_D.json,ae59cd40-20ff-4809-8cbb-87c7cc41665c,981edd0d-2fd6-4b81-b029-b3f8b8c87165,28.3444977,2,4,,
10,Pointing,3_D.json,fdf65cab-a9a0-4e5f-ac35-c3cff2196644,e707a545-428a-41ed-b8c5-e23a73a2f608,15.5318642,1,4,,
10,Pointing,3_D.json,c78550a2-290e-4b94-98db-961c2110c668,a3ff300e-b9ea-40e7-8a84-7eed803bd588,22.759407,2,4,,
10,Pointing,3_D.json,7aeefa77-f398-4a26-b615-e50c4d05ba64,f1dc73eb-52ad-46e5-ab35-7ca62ae4de9a,27.6603947,2,2,,
10,Pointing,3_D.json,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,76f167f6-2b45-498d-bf14-372fdb0f0cf4,14.6964579,1,3,,
10,Pointing,3_D.json,2e919b0d-6d84-4641-a535-930a7ca6c8b7,a120b376-3955-4342-8443-f0e4c24a6545,26.0927029,3,3,,
10,Pointing,3_D.json,79dc7e7b-d1c7-4237-908d-f541b20406d4,4c5302b1-f601-4b13-87e6-fc5c4ba0a2bd,21.0893536,2,1,,
10,Pointing,3_D.json,5dde3eac-8ee6-4821-99d4-f6e4ae5f7bd2,6d27ad6b-837e-4c9a-9197-1a44be6e07ab,29.7057514,2,2,,
10,Label,4_B.json,25c3ccdb-26c7-4109-bcfe-730434f9caa9,c24f82de-ceee-4595-83f7-b53d4293a6a5,22.90212,1,2,,
10,Label,4_B.json,386be10f-0686-4118-928d-b57f06593b2f,ab028290-c288-4611-9923-64465ea5d065,52.5091,3,3,,
10,Label,4_B.json,4fd86244-384f-4a69-adc8-6fd13c16422c,39c4cd3b-1322-466a-8af2-e657dfb87ade,50.3995056,2,3,,
10,Label,4_B.json,1a84f2f7-1739-41af-94ae-9a3c6677e61d,a9755eb8-b230-48ec-9115-2464b38164d6,25.40648,1,3,,
10,Label,4_B.json,4f145d76-f69f-4547-90a7-56281733ca5b,cb6829ae-3881-4b3b-a037-d53b2ba9ebf5,50.9055748,2,2,,
10,Label,4_B.json,fcee09b7-efa4-4e87-956e-553ee7bb3648,92300a24-7098-42af-8873-471155767cb2,26.2481251,1,2,,
10,Label,4_B.json,b3a3afee-32b8-4986-b9e8-16227e2c7bd9,81a8cfa7-6457-4c27-89d7-3bed36b8860e,22.28995,1,1,,
10,Label,4_B.json,19e8d0a8-02bf-4644-9732-e4190e13825e,4a2dc36f-fe68-4bc4-8fae-6aadb50328f2,34.9136,2,4,,
10,Label,4_B.json,cd873fbb-fcc1-43bd-8f04-bb3b2d716af4,9d863237-610a-4b8c-b673-9672655df96e,34.382473,2,6,,
10,Label,4_B.json,95479aa7-9c98-49e4-817e-727302518dae,e58a1857-71cb-4811-b0b5-329aa138182c,14.8778629,1,3,,
10,Label,4_B.json,2a7b8c63-3775-4bbf-8841-7976b4ccf32f,45830d7c-b65a-4331-bb77-57153f270516,32.2311134,2,4,,
10,Label,4_B.json,9e93766e-b621-4d6e-9927-173ac982bf3a,5ec92b96-9930-4c87-a96e-e84b5e0045f5,14.0510159,1,2,,
10,SR,1_C.json,04f5e376-2845-485a-8cb1-c38e3858ff8a,4cc0faaf-e6ca-4399-a226-cc923dde844f,62.18814,2,4,,
10,SR,1_C.json,3d9e0045-08fb-4a50-b4e5-e4b24c3554c9,c99c95cd-b9f4-40cd-b19c-35ca742a4e24,63.45165,1,2,,
10,SR,1_C.json,fd995852-c28d-49e9-97b5-9774af3241c3,1ed4516b-c64c-4d9e-b8c7-9802db4f8444,104.7255,4,6,,
10,SR,1_C.json,b594ae95-d981-4868-ae48-3f63eb87087a,4ebc07f8-c77a-4543-85f7-771e5c95ffb1,41.00517,2,4,,
10,SR,1_C.json,e0153245-d5d9-449a-87f1-2a35d3239eef,3d06b616-67f0-4a55-8e5b-2150f2d9e882,82.07072,4,6,,
10,SR,1_C.json,e81806f6-a4f2-4336-b77b-3407e101bc18,58c8fae7-80b0-42e6-86e7-793b118acad7,85.3875351,6,3,,
10,SR,1_C.json,3bc363f5-3c91-4c51-8139-93034b21f3a9,33c3f061-f104-4d4b-8178-8a5bd577c872,55.9377823,3,1,,
10,SR,1_C.json,7612d934-759d-4a55-9a58-ef65940b7162,3986af5d-4703-43ee-bcc7-9d49842220c4,177.497955,8,5,,
10,SR,1_C.json,b0e9f035-c92f-4dc6-bd0a-a10b2941f902,8edf7921-a597-4252-b261-89fbd2c9c919,14.883955,1,1,,
10,SR,1_C.json,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,646ae292-ef70-4655-b0d2-6cc573d86c22,70.89931,3,4,,
10,SR,1_C.json,ff4748e2-cd97-45bb-bf2c-e5c9c33f78ac,0d09e002-4c54-4f42-9160-dc9fc08389b2,68.0083847,3,3,,
10,SR,1_C.json,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,9b3564c6-b4c5-416b-a924-dcc825c1124e,34.3222542,2,2,,
11,P+SR,2_D.json,40573e58-0087-4bb3-9ed7-d18a24a35b78,24644124-383d-4ad6-a460-2712b406dc11,50.5299225,3,9,,
11,P+SR,2_D.json,c78550a2-290e-4b94-98db-961c2110c668,f2bfdbad-ef41-41a4-8770-379e3e661ccc,30.84306,2,4,,
11,P+SR,2_D.json,fdf65cab-a9a0-4e5f-ac35-c3cff2196644,09b6b49b-a3fe-46a7-a2e4-fbc7e01b94fb,18.3327656,1,4,,
11,P+SR,2_D.json,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,a6a7c95c-a4cd-4259-93e5-5ba6b223ffd5,20.9297714,1,3,,
11,P+SR,2_D.json,ae59cd40-20ff-4809-8cbb-87c7cc41665c,91ca9de8-4209-49b2-b599-54191edd04c7,44.99065,3,4,,
11,P+SR,2_D.json,5dde3eac-8ee6-4821-99d4-f6e4ae5f7bd2,737faf5d-5ea2-479c-a0c3-79cac39a0558,34.35831,2,2,,
11,P+SR,2_D.json,2e919b0d-6d84-4641-a535-930a7ca6c8b7,85493301-2b33-4243-9ed3-9dcce740bccb,31.55604,1,3,,
11,P+SR,2_D.json,bee10050-f98c-456a-a684-4435ee88ef00,d66793b5-c152-473c-b665-8f9685eb9b8f,25.3456249,1,3,,
11,P+SR,2_D.json,79dc7e7b-d1c7-4237-908d-f541b20406d4,60c25164-4196-4da4-92ce-a8fdf59654e6,26.5497417,1,1,,
11,P+SR,2_D.json,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,0ea75d99-d13d-47d3-8781-aa84d168c41c,25.9863453,2,4,,
11,P+SR,2_D.json,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,dd16376d-5a5b-415b-add9-ee8dae1d0dc8,21.3477764,1,1,,
11,P+SR,2_D.json,7aeefa77-f398-4a26-b615-e50c4d05ba64,ad6c2896-f7bf-47d8-b564-42504985f873,30.0255375,2,2,,
11,Label,4_A.json,fe0ef0b0-c647-4b3a-b2f6-68a75133a566,73128175-89d1-40e2-92d0-fc9bbc4c4c17,76.46581,2,2,,
11,Label,4_A.json,0ebd3226-6abe-4b54-8d2f-6c4c8adc1978,784a6f34-e549-435c-876a-59861dec4009,194.956711,5,2,,
11,Label,4_A.json,7cbd6f03-54a0-426f-b4ea-d8e0ce58e276,41dd728c-9431-4796-8c36-847bf03a1c2c,58.8654022,3,3,,
11,Label,4_A.json,f548cabb-2a47-4399-a702-f76d5d1336df,cc798a3e-48d8-4f58-80a7-eda3414b1bd8,34.5113945,1,2,,
11,Label,4_A.json,e2dc0c9a-3e6f-40a4-b8c5-7289c1efe296,f7731187-14b9-44c3-9624-ad77936f95f5,19.51532,1,1,,
11,Label,4_A.json,eee4a904-a6ad-4369-970f-b656e1f59f12,edaa1ea7-a749-444a-847c-8b76b650278c,80.1904144,5,2,,
11,Label,4_A.json,81c1a60b-c8ac-4a16-b831-1df68863e61e,6e8bb2aa-c791-4fa8-ad38-a2ea7aa4fcc3,98.91836,5,3,,
11,Label,4_A.json,d58fe3c1-28a0-4e49-9e2f-e72569f6e61e,9c624169-1297-478f-95d1-e081b267b432,73.9090652,4,4,,
11,Label,4_A.json,c87d383c-41db-4303-8615-9271bbf2465e,22b9cd94-9961-4908-80e5-7ae790c5abb8,48.51194,3,2,,
11,Label,4_A.json,8aeed698-e7ee-41ef-bfe7-56f37e2232ab,10977ab4-fe46-47ca-a61d-19103a541c20,49.956852,3,3,,
11,Label,4_A.json,2369c5c0-c4bb-4308-a9cd-05a64a69f91a,edb8f6db-86af-4555-a0dd-28d938e66be1,57.2309837,2,6,,
11,Label,4_A.json,137e922c-0877-46af-a797-5a32df2edf5d,62d4aea6-f1da-4974-8e09-280b2e636a23,57.0331726,4,3,,
11,Pointing,3_C.json,b594ae95-d981-4868-ae48-3f63eb87087a,b22d3f3d-2d49-4073-9941-b419d9f92897,97.87539,2,4,,
11,Pointing,3_C.json,fd995852-c28d-49e9-97b5-9774af3241c3,9d9609a4-cb90-4ed8-a4c7-8b540a03205a,98.83795,3,6,,
