participant,condition,T_task_sec,N_cmds,n_devices_required,n_colors_required
14,SR,94.18043,3,3,
15,Label,101.794876,3,4,
15,Label,54.9567,2,6,
15,Label,36.4262924,1,1,
15,Label,73.21655,1,3,
15,Label,231.0661,5,3,
15,Label,54.66474,2,1,
15,Label,107.794342,2,3,
15,Label,210.319824,5,3,
15,Label,35.3296738,2,2,
15,Label,36.9074135,1,2,
15,Label,38.4843559,2,2,
15,Label,42.76436,1,2,
15,Pointing,40.4982529,2,3,
15,Pointing,58.2404976,2,3,
15,Pointing,33.7529144,2,2,
15,Pointing,54.7795258,2,4,
15,Pointing,88.67832,2,4,
15,Pointing,36.365,1,2,
15,Pointing,75.0622559,3,3,
15,Pointing,23.9037685,1,3,
15,Pointing,52.6742744,2,2,
15,Pointing,33.8819466,1,2,
15,Pointing,32.624794,1,1,
15,Pointing,103.523079,4,9,
15,SR,62.1045876,1,1,
15,SR,84.9104156,3,3,
15,SR,76.4325943,3,5,
15,SR,93.36344,3,9,
15,SR,93.74013,5,5,
15,SR,35.11437,2,2,
15,SR,54.5577278,2,4,
15,SR,63.8292465,2,3,
15,SR,44.2445641,1,1,
15,SR,95.40666,1,4,
15,SR,214.670685,4,6,
15,SR,106.917648,2,2,
15,P+SR,58.4215164,1,2,
15,P+SR,54.13763,2,4,
15,P+SR,43.1731758,1,4,
15,P+SR,25.9351,1,3,
15,P+SR,18.7584038,1,1,
15,P+SR,45.53672,2,4,
15,P+SR,69.55942,2,6,
15,P+SR,27.4590836,1,3,
15,P+SR,48.7723045,1,2,
15,P+SR,30.6584835,1,3,
15,P+SR,124.545082,4,6,
15,P+SR,15.7856884,1,1,
16,Label,162.297012,4,2,
16,Label,43.8471069,1,6,
16,Label,40.8077164,2,3,
16,Label,36.0058632,2,1,
16,Label,62.8900337,2,6,
16,Label,32.9108353,1,4,
16,Label,41.76491,1,3,
16,Label,30.3338718,1,4,
16,Label,16.7100754,1,1,
16,Label,63.35493,2,4,
16,Label,56.23428,5,3,
16,Label,18.6577644,1,2,
16,P+SR,38.7940025,2,2,
16,P+SR,24.2745552,1,4,
16,P+SR,20.4905243,1,4,
16,P+SR,16.8637257,1,3,
16,P+SR,22.0253334,1,4,
16,P+SR,17.6236839,1,1,
16,P+SR,27.18477,1,3,
16,P+SR,38.9160423,1,9,
16,P+SR,17.232399,1,1,
16,P+SR,31.6227131,3,5,
16,P+SR,20.5153828,1,2,
16,P+SR,33.69356,1,3,
16,Pointing,23.064764,2,2,
16,Pointing,35.9795952,2,3,
16,Pointing,27.3171158,1,2,
16,Pointing,16.1437168,1,2,
16,Pointing,78.08971,3,2,
16,Pointing,25.2518711,2,6,
16,Pointing,28.0042229,2,3,
16,Pointing,9.733307,1,1,
16,Pointing,18.7358952,2,2,
16,Pointing,10.4267578,1,1,
16,Pointing,20.7550144,1,3,
16,Pointing,27.658926,2,4,
16,SR,43.43072,1,3,
16,SR,101.21534,3,3,
16,SR,64.05571,2,1,
16,SR,75.12087,3,1,
16,SR,52.22247,1,3,
16,SR,100.353882,3,4,
16,SR,122.756218,2,6,
16,SR,56.3820953,2,3,
16,SR,77.92591,2,2,
16,SR,22.8722515,1,2,
16,SR,27.7737789,2,2,
16,SR,80.3048859,4,2,
17,Label,108.911072,5,5,
17,Label,24.4484386,1,1,
17,Label,39.0879555,2,2,
17,Label,82.6722641,2,6,
17,Label,56.9496956,3,3,
17,Label,16.53899,1,1,
17,Label,53.8474541,3,2,
17,Label,78.3739853,4,3,
17,Label,137.143173,6,4,
17,Label,24.3070927,1,2,
17,Label,57.040596,3,2,
17,Label,36.46552,2,3,
17,Pointing,23.1954689,2,4,
17,Pointing,30.7120285,2,2,
17,Pointing,20.65541,1,2,
17,Pointing,28.5390129,2,3,
17,Pointing,60.6389427,3,3,
17,Pointing,24.3710785,1,2,
17,Pointing,20.6106949,1,1,
17,Pointing,26.0680313,2,2,
17,Pointing,31.7063084,2,3,
17,Pointing,31.079464,2,6,
17,Pointing,48.44705,2,4,
17,Pointing,35.34518,2,3,
17,SR,166.173462,1,1,
17,SR,149.0461,4,4,
17,SR,154.007019,5,5,
17,SR,65.9169,3,10,
17,SR,90.4522858,2,5,
17,SR,39.50789,2,2,
17,SR,44.1491547,2,2,
17,SR,52.086422,2,3,
17,SR,15.457756,1,1,
17,SR,50.1966248,2,3,
17,SR,153.493347,6,19,
17,SR,32.5593834,2,2,
17,P+SR,36.78532,1,3,
17,P+SR,34.111412,1,4,
17,P+SR,45.0074425,1,3,
17,P+SR,81.0529861,3,4,
17,P+SR,35.0294228,2,6,
17,P+SR,28.0486374,2,4,
17,P+SR,72.03067,4,6,
17,P+SR,25.3824787,1,2,
17,P+SR,20.8952045,1,2,
17,P+SR,18.55819,1,1,
17,P+SR,16.1626282,1,1,
17,P+SR,23.7822552,1,2,
18,Label,25.81032,1,1,
18,Label,39.2420044,1,4,
18,Label,57.9883537,2,4,
18,Label,31.70667,1,1,
18,Label,27.423542,1,3,
18,Label,29.8957043,2,2,
18,Label,48.5591431,1,3,
18,Label,61.73678,3,3,
18,Label,46.456852,2,4,
18,Label,90.63511,3,9,
18,Label,22.9655838,2,2,
18,Label,45.1313553,3,3,
18,P+SR,150.066437,3,4,
18,P+SR,36.0570831,1,2,
18,P+SR,163.714355,3,3,
18,P+SR,27.4667988,1,3,
18,P+SR,48.7204,1,6,
18,P+SR,34.7461777,1,4,
18,P+SR,20.2457047,1,3,
18,P+SR,21.2558689,1,1,
18,P+SR,23.5408859,1,2,
18,P+SR,21.42419,1,2,
18,P+SR,25.58493,1,2,
18,P+SR,30.6735058,1,3,
18,SR,77.21658,2,2,
18,SR,17.5218487,1,2,
18,SR,64.06646,1,4,
18,SR,56.27057,2,4,
18,SR,121.76062,5,5,
18,SR,46.3797836,1,3,
18,SR,53.1533432,3,1,
18,SR,57.8046265,1,1,
18,SR,28.973278,1,1,
18,SR,129.254013,2,4,
18,SR,36.0050964,1,3,
18,SR,40.1847,1,1,
18,Pointing,48.3298836,2,2,
18,Pointing,25.819418,1,2,
18,Pointing,39.4130249,2,3,
18,Pointing,28.3518047,2,6,
18,Pointing,19.8995781,1,2,
18,Pointing,36.62826,3,3,
18,Pointing,25.06886,2,3,
18,Pointing,30.17158,2,2,
18,Pointing,14.3360119,1,1,
18,Pointing,12.839757,1,1,
18,Pointing,24.967514,2,2,
18,Pointing,24.3861275,3,3,
19,P+SR,37.44654,1,9,
19,P+SR,20.4996357,1,1,
19,P+SR,88.34034,3,4,
19,P+SR,29.7903328,1,2,
19,P+SR,18.35279,1,4,
19,P+SR,24.3312778,1,4,
19,P+SR,75.97795,3,3,
19,P+SR,19.0510082,1,3,
19,P+SR,18.7589931,1,2,
19,P+SR,22.5819454,1,1,
19,P+SR,21.0292377,1,4,
19,P+SR,41.5149651,2,3,
19,Pointing,151.006317,3,4,
19,Pointing,39.6850166,2,1,
19,Pointing,56.8727722,2,4,
19,Pointing,34.34543,2,2,
19,Pointing,23.1622257,1,3,
19,Pointing,36.23593,3,6,
19,Pointing,26.8729439,1,2,
19,Pointing,18.6763344,1,1,
19,Pointing,24.3476238,2,3,
19,Pointing,27.6735039,2,4,
19,Pointing,29.6682682,2,6,
19,Pointing,44.6581726,3,3,
19,Label,49.69146,1,2,
19,Label,141.078934,5,5,
19,Label,51.6460533,3,3,
19,Label,41.79754,2,2,
19,Label,22.3936825,1,2,
19,Label,48.1427155,1,1,
19,Label,76.52255,2,3,
19,Label,64.88897,2,6,
19,Label,31.22431,2,4,
19,Label,45.5782623,2,3,
19,Label,94.27893,6,3,
19,Label,28.8399029,1,3,
19,SR,132.3345,7,6,
19,SR,90.9160843,5,4,
19,SR,30.1016312,2,2,
19,SR,37.68495,2,1,
19,SR,114.601555,5,0,
19,SR,48.0485458,3,3,
19,SR,27.3030472,2,2,
19,SR,59.2595329,4,3,
19,SR,36.1443748,2,2,
19,SR,17.1862411,1,1,
19,SR,30.1586056,2,2,
19,SR,35.6369,2,2,
2,Pointing,84.83519,2,3,
2,Pointing,28.16208,2,2,
2,Pointing,17.8924332,2,4,
2,Pointing,24.64055,3,3,
2,Pointing,19.31864,1,1,
2,Pointing,15.1167164,1,3,
2,Pointing,19.16372,2,4,
2,Pointing,18.2484684,2,4,
2,Pointing,15.8882074,1,1,
2,Pointing,10.0020771,1,2,
2,Pointing,22.3029442,2,6,
2,Pointing,23.073761,2,4,
