section,table,scale,subscale,condition,median,iqr,mean,sd,n,ci_low_med,ci_high_med,chi2,df,p,kendalls_W,k,row_cond,col_cond,p_adj,alpha,winner,loser
Inferential,nemenyi_significant_pairs,SUS,Total,,,,,,,,,,,,,,,,,≤.01,Pointing,Label
Inferential,friedman_summary,TAM,Total,,,,,,24.0,,,38.07692307692308,3.0,2.7224453710408738e-08,0.5288461538461539,4.0,,,,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,SR,SR,1.0,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,P+SR,SR,9.094110556051582e-06,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,Pointing,SR,0.0008290735179845576,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,Label,SR,0.9995003849920175,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,SR,P+SR,9.094110556051582e-06,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,P+SR,P+SR,1.0,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,Pointing,P+SR,0.7457723543693915,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,Label,P+SR,1.578308846372778e-05,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,SR,Pointing,0.0008290735179845576,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,P+SR,Pointing,0.7457723543693915,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,Pointing,Pointing,1.0,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,Label,Pointing,0.0012850013851058995,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,SR,Label,0.9995003849920175,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,P+SR,Label,1.578308846372778e-05,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,Pointing,Label,0.0012850013851058995,,,
Inferential,nemenyi_adjusted_p,TAM,Total,,,,,,,,,,,,,,Label,Label,1.0,,,
Inferential,nemenyi_significant_pairs,TAM,Total,,,,,,,,,,,,,,,,,≤.01,SR,P+SR
Inferential,nemenyi_significant_pairs,TAM,Total,,,,,,,,,,,,,,,,,≤.01,SR,Pointing
Inferential,nemenyi_significant_pairs,TAM,Total,,,,,,,,,,,,,,,,,≤.01,P+SR,Label
Inferential,nemenyi_significant_pairs,TAM,Total,,,,,,,,,,,,,,,,,≤.01,Pointing,Label
Inferential,friedman_summary,TPA,Total,,,,,,24.0,,,37.57021276595747,3.0,3.4851675601345885e-08,0.5218085106382983,4.0,,,,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,SR,SR,1.0,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,P+SR,SR,0.0006627475992330156,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,Pointing,SR,2.9095194001849123e-06,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,Label,SR,0.958360637874465,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,SR,P+SR,0.0006627475992330156,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,P+SR,P+SR,1.0,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,Pointing,P+SR,0.6433556312205635,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,Label,P+SR,0.00442639826329827,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,SR,Pointing,2.9095194001849123e-06,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,P+SR,Pointing,0.6433556312205635,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,Pointing,Pointing,1.0,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,Label,Pointing,3.525796868142361e-05,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,SR,Label,0.958360637874465,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,P+SR,Label,0.00442639826329827,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,Pointing,Label,3.525796868142361e-05,,,
Inferential,nemenyi_adjusted_p,TPA,Total,,,,,,,,,,,,,,Label,Label,1.0,,,
Inferential,nemenyi_significant_pairs,TPA,Total,,,,,,,,,,,,,,,,,≤.01,SR,P+SR
Inferential,nemenyi_significant_pairs,TPA,Total,,,,,,,,,,,,,,,,,≤.01,SR,Pointing
Inferential,nemenyi_significant_pairs,TPA,Total,,,,,,,,,,,,,,,,,≤.01,P+SR,Label
Inferential,nemenyi_significant_pairs,TPA,Total,,,,,,,,,,,,,,,,,≤.01,Pointing,Label
Inferential,friedman_summary,NASA-TLX,Overall,,,,,,24.0,,,41.5042372881356,3.0,5.111697678306414e-09,0.5764477401129944,4.0,,,,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,SR,SR,1.0,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,P+SR,SR,8.861582918573419e-07,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,Pointing,SR,0.00041946996397446146,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,Label,SR,0.9796722101651225,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,SR,P+SR,8.861582918573419e-07,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,P+SR,P+SR,1.0,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,Pointing,P+SR,0.5720282020294645,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,Label,P+SR,6.871204181524426e-06,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,SR,Pointing,0.00041946996397446146,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,P+SR,Pointing,0.5720282020294645,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,Pointing,Pointing,1.0,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,Label,Pointing,0.001966123011488796,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,SR,Label,0.9796722101651225,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,P+SR,Label,6.871204181524426e-06,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,Pointing,Label,0.001966123011488796,,,
Inferential,nemenyi_adjusted_p,NASA-TLX,Overall,,,,,,,,,,,,,,Label,Label,1.0,,,
Inferential,nemenyi_significant_pairs,NASA-TLX,Overall,,,,,,,,,,,,,,,,,≤.01,SR,P+SR
Inferential,nemenyi_significant_pairs,NASA-TLX,Overall,,,,,,,,,,,,,,,,,≤.01,SR,Pointing
Inferential,nemenyi_significant_pairs,NASA-TLX,Overall,,,,,,,,,,,,,,,,,≤.01,P+SR,Label
Inferential,nemenyi_significant_pairs,NASA-TLX,Overall,,,,,,,,,,,,,,,,,≤.01,Pointing,Label
Reliability,cronbach_alpha,SUS,,,,,,,,,,,,,,,,,,-0.2248510729331225,,
Reliability,cronbach_alpha,TAM,,,,,,,,,,,,,,,,,,0.9559489603563268,,
Reliability,cronbach_alpha,TPA,,,,,,,,,,,,,,,,,,0.4832764944826914,,
Reliability,cronbach_alpha,NASA_TLX,,,,,,,,,,,,,,,,,,0.6333892277506451,,
